Office,id_10,id_11,id_12,id_13,id_14,id_15,id_16,id_17,id_18,id_19,id_20,id_21,id_22,id_23,id_24,id_25,id_26,id_27,year,,,,
"Humboldt, CA",22,3336.26,,,,,,,,,,,,,,,,,1867,,,,
"Stockton, CA",66,9677.22,,,,,,,,,,,,,,,,,1867,,,,
"Visalia, CA",83,12190.33,,,,,,,,,,,,,,,,,1867,,,,
"Oregon City, OR",253,36091.57,,,,,,,,,,,,,,,,,1867,,,,
"Roseburg, OR",267,36331.55,,,,,,,,,,,,,,,,,1867,,,,
"Olympia, WA",47,7487.53,,,,,,,,,,,,,,,,,1867,,,,
"Vancouver, WA",150,22734.59,,,4,491.7,,,,,,,,,,,,,1867,,,,
"Topeka, KS",269,26367.32,,,,,,,,,,,,,,,,,1867,,,,
"Humboldt, KS",361,41461.06,,,,,,,,,,,,,,,,,1867,,,,
"Junction City, KS",687,85271.35,,,,,,,,,,,,,,,,,1867,,,,
"Omaha, NE",491,60498.96,,,,,,,,,,,,,,,,,1867,,,,
"Brownville, NE",596,90938.94,,,,,,,,,,,,,,,,,1867,,,,
"Nebraska City, NE",404,51059.1,,,,,,,,,,,,,,,,,1867,,,,
"Dakota City, NE",110,16723.78,,,,,,,,,,,,,,,,,1867,,,,
"Denver, CO",127,18315.91,,,,,,,,,,,,,,,,,1867,,,,
"Vermillion, SD",187,29555.2,,,,,,,,,,,,,,,,,1867,,,,
"Carson City, NV",5,600,,,,,,,,,,,,,,,,,1867,,,,
"Chillicothe, OH",7,447.45,3,200,,,,,,,,,,,,,,,1868,,,,
"Springfield, IL",,,,,,,,,,,,,,,,,,,1868,,,,
"Boonville, MO",818,62265.43,,,,,,,,,,,,,,,,,1868,,,,
"Ironton, MO",717,75970.25,,,,,,,,,,,,,,,,,1868,,,,
"Springfield, MO",982,99827.21,,,,,,,,,,,,,,,,,1868,,,,
"Montgomery, AL",,,,,,,,,,,,,,,,,,,1868,,,,
"Huntsville, AL",1646,124085.24,,,,,,,,,,,,,,,,,1868,,,,
"Jackson, MS",1602,102824.45,,,,,,,,,,,,,,,,,1868,,,,
"New Orleans, LA",,,,,,,,,,,,,,,,,,,1868,,,,
"Detroit, MI",109,12963.29,7,960,,,,,,,,,,,,,,,1868,,,,
"East Saginaw, MI",330,39165.27,99,11122.05,,,,,,,,,,,,,,,1868,,,,
"Ionia, MI",745,71766.27,216,26823.81,,,,,,,,,,,,,,,1868,,,,
"Marquette, MI",30,4469.25,2,280,,,,,,,,,,,,,,,1868,,,,
"Traverse City, MI",653,75218.29,160,22208.86,,,,,,,,,,,,,,,1868,,,,
"Little Rock, AR",650,42186.81,,,,,,,,,,,,,,,,,1868,,,,
"Washington, AR",992,66250.34,,,,,,,,,,,,,,,,,1868,,,,
"Clarksville, AR",1188,74836.21,,,,,,,,,,,,,,,,,1868,,,,
"Tallahassee, FL",1781,115937.81,,,,,,,,,,,,,,,,,1868,,,,
"Des Moines, IA",37,1950.32,21,1442.52,,,,,,,,,,,,,,,1868,,,,
"Council Bluffs, IA",55,4011.2,22,1710.27,,,,,,,,,,,,,,,1868,,,,
"Fort Dodge, IA",285,25357.8,29,3486.84,,,,,,,,,,,,,,,1868,,,,
"Sioux City, IA",410,40486.08,10,1593.5,,,,,,,,,,,,,,,1868,,,,
"Menasha, WI",91,9006.47,26,2768.98,,,,,,,,,,,,,,,1868,,,,
"St. Croix Falls, WI",339,32821.21,57,6322.71,,,,,,,,,,,,,,,1868,,,,
