id,date_begin,date_end,source_no,name_michno,name_friedman,state,ident_friedman,natives dead,natives dead (amended),natives wounded,natives wounded (amended),natives captured,natives captured (amended),us combatants dead,us combatants wounded,us combatants wounded (amended),us civilians dead,us civilians dead (amended),us civilians wounded,us civilians captured,source,nation 1,nation 2,nation 3,nation 4,pop_group,native casualties,us combatant casualties,us civilian casualties,total casualties,type engagement,x,y
8,1863/08/05,1863/08/19,16,Pueblo Colorado Expedition,Pueblo Colorado Expedition,Arizona,AZ-1863/08/05,4,4,,,17,17,1,,,,,,,Michno: Encyclopedia,Navajo,,,,4,4,1,0,5,8,-110.0556837,35.32784076
345,1863/08/15,1863/08/15,7,Steptoe Valley,Steptoe Valley,Nevada,NV-1863/08/15,5,5,,,,,,,,,,,,Michno: Forgotten Fights,Goshute,,,,2,5,0,0,5,10,-114.8445545,40.50878749
374,1863/08/27,1863/08/27,40,Las Animas Creek,Las Animas Creek,New Mexico,NM-1863/08/27,1,1,3,3,,,1,,,,,,,Michno: Encyclopedia,Mimbres Apache,,,,3,4,1,0,5,8,-107.2964907,33.05396109
375,1863/08/27,1863/08/28,41,Salt Lakes,Salt Lakes,New Mexico,NM-1863/08/27b,6,6,,,14,14,,,,,,,,Michno: Encyclopedia,Navajo,,,,4,6,0,0,6,10,-108.7521197,35.0295427
450,1863/09/03,1863/09/03,6,Whitestone Hill,Dakota War- Battle of Whitestone Hill,North Dakota,DK-1863/09/03,100,100,100,100,156,156,20,38,38,,,,,Michno: Encyclopedia,Lakota Sioux,Nakota Sioux,Santee Sioux,,4,200,58,0,258,8,-99.19026509,46.30342867
376,1863/09/08,1863/09/08,12,Mimbres River,Dwyer,New Mexico,NM-1863/09/08,,,unknown,5,,,2,,,,,,,Michno: Forgotten Fights,Chiricahua Apache,,,,3,5,2,0,7,7,-107.735075,32.56327167
377,1863/09/27,1863/09/27,42,Jemez,Jemez,New Mexico,NM-1863/09/27,8,8,,,20,20,,,,,,,,Michno: Encyclopedia,Navajo,,,,4,8,0,0,8,10,-106.7186401,35.65558072
145,1863/11/13,1863/11/14,42,Thomas's Ranch,Thomas's Ranch,California,CA-1863/11/13,2,2,,,,,,2,2,,,,,Michno: Encyclopedia,Hoopa,,,,1,2,2,0,4,5,-123.3541767,40.78062587
9,1863/11/15,1863/12/04,17,Oraibi Expedition,Oraibi Expedition,Arizona,AZ-1863/11/15,2,2,2,2,3,3,,,,,,,,Michno: Encyclopedia,Navajo,,,,4,4,0,0,4,10,-110.7503655,35.58111307
146,1863/11/17,1863/11/17,43,Willow Creek,Willow Creek,California,CA-1863/11/17,5,5,several,5,,,,3,3,,,,,Michno: Encyclopedia,Hoopa,,,,1,10,3,0,13,8,-123.0458185,40.62688567
